=== View Latency Scaling Test ===
Server: http://127.0.0.1:3000
Subscribe to: View
Confirmed reads: true
Batch size: 1000, Batches: 10

Subscription applied (view)

=== SUMMARY ===
 Total messages     Avg (ms)     P50 (ms)     P99 (ms)
      1000        82.60        71.44       195.70
      2000       240.46       234.42       510.38
      3000       412.80       397.82       836.74
      4000       572.90       563.53      1157.49
      5000       738.98       726.61      1501.79
      6000       905.97       882.44      1837.59
      7000      1072.75      1050.97      2160.39
      8000      1242.16      1219.56      2498.07
      9000      1413.31      1396.64      2839.55
     10000      1577.24      1559.35      3160.60
