=== View Latency Scaling Test ===
Server: http://127.0.0.1:3000
Subscribe to: View
Confirmed reads: false
Batch size: 1000, Batches: 10

Subscription applied (view)

=== SUMMARY ===
 Total messages     Avg (ms)     P50 (ms)     P99 (ms)
      1000        63.61        50.75       175.04
      2000       223.67       210.21       492.15
      3000       384.66       371.22       810.68
      4000       550.14       533.63      1150.33
      5000       723.21       707.45      1492.73
      6000       887.19       870.70      1820.56
      7000      1048.67      1031.10      2140.17
      8000      1219.30      1206.70      2474.89
      9000      1389.55      1377.55      2815.14
     10000      1547.83      1533.52      3129.56
